2022-09-22 15:46:12,688 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:46:12.688224]
2022-09-22 15:46:39,240 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162221_0001_Z_航点1.JPG
2022-09-22 15:46:45,216 - maincontroller.py - line:68 - INFO| DJI_20220905162221_0001_Z_航点1.JPG下载成功
2022-09-22 15:46:45,224 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:46:45,233 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 15:46:45,242 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 15:46:45,257 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:46:45,264 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:46:45,265 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:49:07,824 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:49:07.824834]
2022-09-22 15:50:48,622 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:50:48.622192]
2022-09-22 15:52:22,327 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161735_0005_Z_航点5.JPG
2022-09-22 15:52:29,753 - maincontroller.py - line:68 - INFO| DJI_20220905161735_0005_Z_航点5.JPG下载成功
2022-09-22 15:52:29,760 - sql_operations.py - line:21 - INFO| 开始向航线表插入数据
2022-09-22 15:52:29,801 - sql_operations.py - line:29 - INFO| 航线表数据插入成功
2022-09-22 15:52:29,810 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 15:52:29,837 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 15:52:29,852 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:29,877 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:29,878 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:52:33,239 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161715_0004_Z_航点4.JPG
2022-09-22 15:52:39,186 - maincontroller.py - line:68 - INFO| DJI_20220905161715_0004_Z_航点4.JPG下载成功
2022-09-22 15:52:39,193 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:52:39,199 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:52:39,216 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:39,223 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:39,230 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:39,243 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:39,244 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:52:41,188 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161701_0003_Z_航点3.JPG
2022-09-22 15:52:44,236 - maincontroller.py - line:68 - INFO| DJI_20220905161701_0003_Z_航点3.JPG下载成功
2022-09-22 15:52:44,241 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:52:44,244 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:52:44,254 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:44,258 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:52:44,263 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:52:44,267 - sql_operations.py - line:81 - INFO| 图片数据插入成功
